invoice_id,invoice_text,customer_feedback,sentiment
INV-001,"Invoice No: INV-001 | Date: 2025-11-15 | From: TechNova Solutions Pvt Ltd | To: Sharma Electronics, Mumbai | Items: 5x Wireless Mouse @Rs.450, 3x USB Hub @Rs.350 | Subtotal: Rs.3300 | GST (18%): Rs.594 | Total: Rs.3894 | Payment Due: 2025-12-15","Excellent quality wireless mouse, very responsive and comfortable. Fast delivery too!",positive
INV-002,"Invoice No: INV-002 | Date: 2025-09-03 | From: Bharat Electronics Ltd | To: Gupta Traders, Delhi | Items: 10x HDMI Cable 2m @Rs.250, 5x Ethernet Cable 5m @Rs.180 | Subtotal: Rs.3400 | GST (18%): Rs.612 | Total: Rs.4012 | Payment Due: 2025-10-03","The HDMI cables stopped working within a week. Extremely poor quality, will not order again from Bharat Electronics.",negative
INV-003,"Invoice No: INV-003 | Date: 2025-07-22 | From: Reliance Digital Wholesale | To: Patel Computers, Ahmedabad | Items: 2x HP Laptop 15s @Rs.42000 | Subtotal: Rs.84000 | GST (18%): Rs.15120 | Total: Rs.99120 | Payment Due: 2025-08-22","Laptops arrived on the expected date. Performance is adequate for office work.",neutral
INV-004,"Invoice No: INV-004 | Date: 2025-12-01 | From: Flipkart Wholesale | To: Reddy IT Solutions, Hyderabad | Items: 20x Logitech Keyboard @Rs.750, 20x Logitech Mouse @Rs.500 | Subtotal: Rs.25000 | GST (18%): Rs.4500 | Total: Rs.29500 | Payment Due: 2026-01-01","The keyboards are fantastic! Typing is smooth and silent. Flipkart Wholesale delivered ahead of schedule, really impressed.",positive
INV-005,"Invoice No: INV-005 | Date: 2025-10-18 | From: CloudMinds India Pvt Ltd | To: Nair Technologies, Kochi | Items: 1x Cloud Server License (Annual) @Rs.120000 | Subtotal: Rs.120000 | GST (18%): Rs.21600 | Total: Rs.141600 | Payment Due: 2025-11-18","CloudMinds support team is unresponsive. We faced 3 outages in the first month and nobody addressed our tickets. Very disappointing service.",negative
INV-006,"Invoice No: INV-006 | Date: 2026-01-10 | From: DataServe Technologies | To: Singh Infotech, Chandigarh | Items: 4x 1TB SSD @Rs.5500, 4x 16GB RAM DDR5 @Rs.3200 | Subtotal: Rs.34800 | GST (18%): Rs.6264 | Total: Rs.41064 | Payment Due: 2026-02-10","SSDs are performing as expected. Installation was smooth. No complaints so far.",neutral
INV-007,"Invoice No: INV-007 | Date: 2025-08-05 | From: Zoho Enterprise Solutions | To: Mehta & Associates, Pune | Items: 15x Zoho CRM License (Monthly) @Rs.1200 | Subtotal: Rs.18000 | GST (18%): Rs.3240 | Total: Rs.21240 | Payment Due: 2025-09-05","Zoho CRM has transformed our sales pipeline. The analytics dashboard is incredibly useful and the team adopted it quickly.",positive
INV-008,"Invoice No: INV-008 | Date: 2025-06-14 | From: Wipro Peripherals | To: Das Electronics, Kolkata | Items: 8x 24-inch LED Monitor @Rs.12500 | Subtotal: Rs.100000 | GST (18%): Rs.18000 | Total: Rs.118000 | Payment Due: 2025-07-14","Two of the eight monitors had dead pixels right out of the box. Wipro's return process is a nightmare. Terrible experience.",negative
INV-009,"Invoice No: INV-009 | Date: 2026-02-20 | From: TechNova Solutions Pvt Ltd | To: Iyer Systems, Chennai | Items: 3x Webcam HD 1080p @Rs.2800, 3x Noise-Cancelling Headset @Rs.3500 | Subtotal: Rs.18900 | GST (18%): Rs.3402 | Total: Rs.22302 | Payment Due: 2026-03-20","Great audio quality on the headsets. The webcams are clear and work well for video calls. Happy with this purchase from TechNova.",positive
INV-010,"Invoice No: INV-010 | Date: 2025-11-28 | From: Infosys BPO Supplies | To: Kapoor Enterprises, Jaipur | Items: 50x Cat6 Ethernet Cable 3m @Rs.120 | Subtotal: Rs.6000 | GST (18%): Rs.1080 | Total: Rs.7080 | Payment Due: 2025-12-28","Cables are standard quality. They work fine for our office network setup.",neutral
INV-011,"Invoice No: INV-011 | Date: 2025-09-12 | From: HCL Digital Store | To: Banerjee IT Hub, Kolkata | Items: 5x HP LaserJet Printer @Rs.18500 | Subtotal: Rs.92500 | GST (18%): Rs.16650 | Total: Rs.109150 | Payment Due: 2025-10-12","Printers are excellent. Print quality is sharp, toner lasts long, and setup was straightforward. HCL provided great after-sales support.",positive
INV-012,"Invoice No: INV-012 | Date: 2025-07-30 | From: Micromax Distribution | To: Verma Mobile Zone, Lucknow | Items: 25x Micromax IN 2c Smartphone @Rs.7500 | Subtotal: Rs.187500 | GST (18%): Rs.33750 | Total: Rs.221250 | Payment Due: 2025-08-30","Phones are laggy and the battery drains within 4 hours. Multiple customers have returned them. Will not restock Micromax products.",negative
INV-013,"Invoice No: INV-013 | Date: 2026-03-05 | From: Amazon Business India | To: Joshi Office Supplies, Nagpur | Items: 10x Wireless Presenter @Rs.1500, 10x USB-C Dongle @Rs.800 | Subtotal: Rs.23000 | GST (18%): Rs.4140 | Total: Rs.27140 | Payment Due: 2026-04-05","Presenters work well and the range is good. USB-C dongles are compatible with all our devices. Satisfied with the order.",positive
INV-014,"Invoice No: INV-014 | Date: 2025-10-07 | From: Tata Consultancy Peripherals | To: Malhotra Computers, Delhi | Items: 2x Dell Inspiron 14 Laptop @Rs.55000 | Subtotal: Rs.110000 | GST (18%): Rs.19800 | Total: Rs.129800 | Payment Due: 2025-11-07","The Dell laptops are decent. Battery life is average. Nothing exceptional but gets the job done.",neutral
INV-015,"Invoice No: INV-015 | Date: 2025-08-19 | From: CloudMinds India Pvt Ltd | To: Chatterjee Solutions, Kolkata | Items: 1x Managed Hosting Plan (6 months) @Rs.75000 | Subtotal: Rs.75000 | GST (18%): Rs.13500 | Total: Rs.88500 | Payment Due: 2025-09-19","Server uptime has been consistently 99.9%. CloudMinds migration team handled everything professionally. Highly recommend their hosting.",positive
INV-016,"Invoice No: INV-016 | Date: 2026-01-25 | From: Lenskart Business | To: Srinivasan Optics, Chennai | Items: 30x Blue Light Filter Glasses @Rs.800 | Subtotal: Rs.24000 | GST (18%): Rs.4320 | Total: Rs.28320 | Payment Due: 2026-02-25","The frames broke easily for 5 pairs. Quality control seems lacking at Lenskart's wholesale division. Need better build quality.",negative
INV-017,"Invoice No: INV-017 | Date: 2025-12-14 | From: DataServe Technologies | To: Khan IT Services, Bhopal | Items: 2x Network Switch 24-port @Rs.15000, 1x Server Rack @Rs.25000 | Subtotal: Rs.55000 | GST (18%): Rs.9900 | Total: Rs.64900 | Payment Due: 2026-01-14","Network switches are reliable and easy to configure. The server rack is sturdy. DataServe packed everything very securely.",positive
INV-018,"Invoice No: INV-018 | Date: 2025-06-28 | From: Reliance Digital Wholesale | To: Pandey Electronics, Varanasi | Items: 15x Power Bank 20000mAh @Rs.1200 | Subtotal: Rs.18000 | GST (18%): Rs.3240 | Total: Rs.21240 | Payment Due: 2025-07-28","Half the power banks don't charge past 80%. Reliance Digital needs to check their inventory quality. Asking for replacement.",negative
INV-019,"Invoice No: INV-019 | Date: 2025-11-02 | From: Wipro Peripherals | To: Saxena Technologies, Indore | Items: 6x Mechanical Keyboard RGB @Rs.3500 | Subtotal: Rs.21000 | GST (18%): Rs.3780 | Total: Rs.24780 | Payment Due: 2025-12-02","Received the keyboards. They match the product description and the RGB lighting works fine.",neutral
INV-020,"Invoice No: INV-020 | Date: 2026-02-08 | From: Freshworks Software | To: Deshmukh Corp, Pune | Items: 10x Freshdesk Agent License (Annual) @Rs.15000 | Subtotal: Rs.150000 | GST (18%): Rs.27000 | Total: Rs.177000 | Payment Due: 2026-03-08","Freshdesk has been a game-changer for our customer support. Ticket management is seamless and reporting is top-notch. Worth every rupee.",positive
INV-021,"Invoice No: INV-021 | Date: 2025-09-25 | From: TechNova Solutions Pvt Ltd | To: Bhat IT Services, Bangalore | Items: 4x Laptop Stand Adjustable @Rs.2200, 4x Ergonomic Mouse Pad @Rs.650 | Subtotal: Rs.11400 | GST (18%): Rs.2052 | Total: Rs.13452 | Payment Due: 2025-10-25","Laptop stands are wobbly and don't hold the weight of a 15-inch laptop. The mouse pads are fine but the stands are unusable. Disappointed with TechNova this time.",negative
INV-022,"Invoice No: INV-022 | Date: 2025-07-08 | From: Bharat Electronics Ltd | To: Agarwal Systems, Kanpur | Items: 3x UPS 1100VA @Rs.5500 | Subtotal: Rs.16500 | GST (18%): Rs.2970 | Total: Rs.19470 | Payment Due: 2025-08-08","UPS units provide good backup during power cuts. Battery indicator is helpful. Solid purchase from Bharat Electronics.",positive
INV-023,"Invoice No: INV-023 | Date: 2026-03-18 | From: Flipkart Wholesale | To: Thakur Electronics, Patna | Items: 12x USB Flash Drive 64GB @Rs.350, 12x Micro SD Card 128GB @Rs.600 | Subtotal: Rs.11400 | GST (18%): Rs.2052 | Total: Rs.13452 | Payment Due: 2026-04-18","Storage devices are working properly. Data transfer speeds are as advertised.",neutral
INV-024,"Invoice No: INV-024 | Date: 2025-10-30 | From: Zoho Enterprise Solutions | To: Pillai Associates, Trivandrum | Items: 5x Zoho Books License (Annual) @Rs.8000 | Subtotal: Rs.40000 | GST (18%): Rs.7200 | Total: Rs.47200 | Payment Due: 2025-11-30","Zoho Books has simplified our accounting tremendously. GST filing features are particularly useful for Indian businesses. Excellent product.",positive
INV-025,"Invoice No: INV-025 | Date: 2025-08-13 | From: Infosys BPO Supplies | To: Rao Digital World, Visakhapatnam | Items: 100x RJ45 Connectors @Rs.15, 10x Crimping Tool @Rs.500 | Subtotal: Rs.6500 | GST (18%): Rs.1170 | Total: Rs.7670 | Payment Due: 2025-09-13","Crimping tools broke after first use. The connectors are fine but the tools are garbage. Complete waste of Rs.5000.",negative
INV-026,"Invoice No: INV-026 | Date: 2026-01-05 | From: HCL Digital Store | To: Mishra Infotech, Ranchi | Items: 3x Canon Inkjet Printer @Rs.8500 | Subtotal: Rs.25500 | GST (18%): Rs.4590 | Total: Rs.30090 | Payment Due: 2026-02-05","Printers work fine. Ink cartridges were included as promised. Standard product.",neutral
INV-027,"Invoice No: INV-027 | Date: 2025-12-22 | From: Amazon Business India | To: Kumar IT Solutions, Dehradun | Items: 8x Surge Protector 6-outlet @Rs.900 | Subtotal: Rs.7200 | GST (18%): Rs.1296 | Total: Rs.8496 | Payment Due: 2026-01-22","Surge protectors are well-built and the indicator lights are a nice touch. All our systems are now properly protected. Great value for money.",positive
INV-028,"Invoice No: INV-028 | Date: 2025-06-05 | From: Micromax Distribution | To: Sharma Mobile Store, Guwahati | Items: 10x Micromax Bolt Q381 @Rs.4500 | Subtotal: Rs.45000 | GST (18%): Rs.8100 | Total: Rs.53100 | Payment Due: 2025-07-05","Touchscreens are unresponsive on 3 units. Camera quality is terrible on all of them. Customers are unhappy and demanding refunds.",negative
INV-029,"Invoice No: INV-029 | Date: 2026-02-15 | From: Tata Consultancy Peripherals | To: Ghosh Technologies, Kolkata | Items: 1x Lenovo ThinkPad X1 Carbon @Rs.135000 | Subtotal: Rs.135000 | GST (18%): Rs.24300 | Total: Rs.159300 | Payment Due: 2026-03-15","The ThinkPad X1 is a beast. Build quality is premium, keyboard is best in class, and the display is gorgeous. Tata delivered with excellent packaging.",positive
